Name,Category,Computation Approach,Computation Structure JSON,Data Type,Dependencies,Description,Field Path,Field Type,Mapping Fields (db),Notes,REST API Endpoints,Status,Unit,Version Added,WebSocket Contracts,💽 Provider Field (db)
location_precision_satellites,location,Direct mapping from Navixy: satellites (path: satellites) - Number of satellites in fix from Navixy,"{
""type"": ""direct"",
""sources"": [
{
""field"": ""satellites"",
""path"": ""satellites""
}
]
}",number,,Number of satellites in fix,location.precision.satellites,direct,location.precision.satellites from Navixy (https://www.notion.so/location-precision-satellites-from-Navixy-2cc3e766c90181e885eff8e454b6c797?pvs=21),,/telemetry (FLEETI),inactive,none,1.0.0,,satellites (https://www.notion.so/satellites-2c73e766c901817bb6c8f212f06b6869?pvs=21)
last_updated_at,metadata,"Direct mapping from Navixy: msg_time (path: msg_time) - Timestamp of when the telemetry record was originally created on the GPS tracker device, before transmission to the provider.","{
""type"": ""direct"",
""sources"": [
{
""field"": ""msg_time"",
""path"": ""msg_time""
}
]
}",datetime,"is_moving_last_updated_at (https://www.notion.so/is_moving_last_updated_at-2d03e766c9018119b691e68c4f1ec728?pvs=21), movement_last_updated_at (https://www.notion.so/movement_last_updated_at-2d03e766c90181708a1bc787847e6c67?pvs=21), ignition_last_changed_at (https://www.notion.so/ignition_last_changed_at-2d03e766c90181a49a77dd7fc5395679?pvs=21), statuses_transit_last_changed_at (https://www.notion.so/statuses_transit_last_changed_at-2d03e766c9018160aedafc7a2e1b8528?pvs=21), statuses_engine_last_changed_at (https://www.notion.so/statuses_engine_last_changed_at-2d03e766c9018101bcd9efe26fa1381b?pvs=21), statuses_immobilization_last_changed_at (https://www.notion.so/statuses_immobilization_last_changed_at-2d03e766c901810ab405e99b459708eb?pvs=21), statuses_connectivity_last_changed_at (https://www.notion.so/statuses_connectivity_last_changed_at-2d03e766c90181dd9dcace15d98b87c5?pvs=21), statuses_connectivity_code (https://www.notion.so/statuses_connectivity_code-2d03e766c9018122881bd8b3876ab02a?pvs=21), top_status_last_changed_at (https://www.notion.so/top_status_last_changed_at-2d03e766c90181f781dcc65cf4c3bb58?pvs=21)",The last time the GPS tracker sent data to the system. Shows when the device was last in contact.,last_updated_at,direct,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",msg_time (https://www.notion.so/msg_time-2c73e766c9018199a26dd2f1b00cd31e?pvs=21)
top_status_family,status,"Calculated: derive from statuses_connectivity_code, statuses_immobilization_code, statuses_engine_code, and statuses_transit_code using derive_top_status_family function. Function calls Asset Service internally to check compatibility for each status family (statuses_connectivity_compatible, statuses_immobilization_compatible, statuses_engine_compatible, statuses_transit_compatible). Evaluates status families in conditional priority order: (1) Connectivity if compatible and code = ""offline"", (2) Immobilization if compatible and code = ""immobilized"", (3) Engine if compatible and code = ""running"", (4) Transit if compatible, (5) Connectivity fallback (code = ""online""). Returns the family name (connectivity/immobilization/engine/transit) of the selected status family.

Pseudo code:
connectivity_compatible = checkConnectivityCompatible()  // Calls Asset Service internally
immobilization_compatible = checkImmobilizationCompatible()  // Calls Asset Service internally
engine_compatible = checkEngineCompatible()  // Calls Asset Service internally
transit_compatible = checkTransitCompatible()  // Calls Asset Service internally
if (connectivity_compatible && statuses_connectivity_code === ""offline"") {
return ""connectivity""
} else if (immobilization_compatible && statuses_immobilization_code === ""immobilized"") {
return ""immobilization""
} else if (engine_compatible && statuses_engine_code === ""running"") {
return ""engine""
} else if (transit_compatible) {
return ""transit""
} else {
return ""connectivity""  // fallback (online)
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_top_status_family"",
""parameters"": {
""fleeti"": [
""statuses_connectivity_code"",
""statuses_immobilization_code"",
""statuses_engine_code"",
""statuses_transit_code""
]
}
}",string,"statuses_immobilization_code (https://www.notion.so/statuses_immobilization_code-2d03e766c9018134919dd42cdb9c9148?pvs=21), statuses_connectivity_code (https://www.notion.so/statuses_connectivity_code-2d03e766c9018122881bd8b3876ab02a?pvs=21), statuses_engine_code (https://www.notion.so/statuses_engine_code-2d03e766c901819dbed7deab2cca5926?pvs=21), statuses_transit_code (https://www.notion.so/statuses_transit_code-2d03e766c90181fe92d0e5e6f5f074d1?pvs=21)","The main status category currently shown for this asset. The system picks the most important status (like 'offline', 'immobilized', 'running', or 'moving') to display on the map.",status.top_status.family,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",
top_status_code,status,"Calculated: derive from statuses_connectivity_code, statuses_immobilization_code, statuses_engine_code, and statuses_transit_code using derive_top_status_code function. Function calls Asset Service internally to check compatibility for each status family (statuses_connectivity_compatible, statuses_immobilization_compatible, statuses_engine_compatible, statuses_transit_compatible). Evaluates status families in conditional priority order: (1) Connectivity if compatible and code = ""offline"", (2) Immobilization if compatible and code = ""immobilized"", (3) Engine if compatible and code = ""running"", (4) Transit if compatible, (5) Connectivity fallback (code = ""online""). Returns the code value from the selected status family (e.g., ""offline"", ""immobilized"", ""running"", ""in_transit"", ""parked"", ""online"").

Pseudo code:
connectivity_compatible = checkConnectivityCompatible()  // Calls Asset Service internally
immobilization_compatible = checkImmobilizationCompatible()  // Calls Asset Service internally
engine_compatible = checkEngineCompatible()  // Calls Asset Service internally
transit_compatible = checkTransitCompatible()  // Calls Asset Service internally
if (connectivity_compatible && statuses_connectivity_code === ""offline"") {
return statuses_connectivity_code
} else if (immobilization_compatible && statuses_immobilization_code === ""immobilized"") {
return statuses_immobilization_code
} else if (engine_compatible && statuses_engine_code === ""running"") {
return statuses_engine_code
} else if (transit_compatible) {
return statuses_transit_code
} else {
return statuses_connectivity_code  // fallback (""online"")
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_top_status_code"",
""parameters"": {
""fleeti"": [
""statuses_connectivity_code"",
""statuses_immobilization_code"",
""statuses_engine_code"",
""statuses_transit_code""
]
}
}",string,"top_status_last_changed_at (https://www.notion.so/top_status_last_changed_at-2d03e766c90181f781dcc65cf4c3bb58?pvs=21), statuses_engine_code (https://www.notion.so/statuses_engine_code-2d03e766c901819dbed7deab2cca5926?pvs=21), statuses_connectivity_code (https://www.notion.so/statuses_connectivity_code-2d03e766c9018122881bd8b3876ab02a?pvs=21), statuses_immobilization_code (https://www.notion.so/statuses_immobilization_code-2d03e766c9018134919dd42cdb9c9148?pvs=21), statuses_transit_code (https://www.notion.so/statuses_transit_code-2d03e766c90181fe92d0e5e6f5f074d1?pvs=21)","The current status shown for this asset, such as 'offline', 'immobilized', 'running', 'in_transit', 'parked', or 'online'. This is the most important status that appears on the map.",status.top_status.code,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",
top_status_last_changed_at,status,"Calculated: derive from top_status_code and last_updated_at using derive_top_status_last_changed_at function. Updates when top_status.code changes (not on every packet). Backend compares current top_status.code with previous value. If different, update timestamp to last_updated_at (from telemetry packet). If same, keep previous timestamp unchanged. Used to calculate duration of current top status state (e.g., ""immobilized for 2 hours"", ""engine running since 10:30""). Enables timeline features and status duration calculations.

Pseudo code:
if (current_top_status_code !== previous_top_status_code) {
top_status_last_changed_at = last_updated_at  // Use timestamp from telemetry packet
} else {
top_status_last_changed_at = previous_top_status_last_changed_at  // keep unchanged
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_top_status_last_changed_at"",
""parameters"": {
""fleeti"": [
""top_status_code"",
""last_updated_at""
]
}
}",datetime,"last_updated_at (https://www.notion.so/last_updated_at-2d03e766c90181f0a2c1d615f9506341?pvs=21), top_status_code (https://www.notion.so/top_status_code-2d03e766c9018143a851d71781813b82?pvs=21)","When the main status last changed. Used to show how long the asset has been in its current state (e.g., 'immobilized for 2 hours', 'running since 10:30').",status.top_status.last_changed_at,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",
statuses_connectivity_code,status,"Calculated: derive from last_updated_at using derive_statuses_connectivity_code function. Function calls Asset Service to retrieve asset_type and asset_subtype. Determines online/offline status based on time threshold: Vehicles, Equipment, and Phones use 24h threshold; Coldroom Sites use 1h threshold. Check asset type and subtype: if asset_type === Site (30) AND asset_subtype === Coldroom (10), use 1h threshold; otherwise use 24h threshold. Compare root-level last_updated_at (derived from msg_time) with current time. If difference < threshold ? ""online"", else ? ""offline"". Connectivity is based on the root-level last_updated_at timestamp (derived from msg_time), not GPS location updates.

Pseudo code:
asset_type = asset_service.get_asset_type(asset_id)
asset_subtype = asset_service.get_asset_subtype(asset_id)
threshold = (asset_type === Site && asset_subtype === Coldroom) ? 1 : 24  // hours
time_diff = current_time - last_updated_at
if (time_diff < threshold) {
return ""online""
} else {
return ""offline""
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_connectivity_code"",
""parameters"": {
""fleeti"": [
""last_updated_at""
]
}
}",string,"statuses_connectivity_last_changed_at (https://www.notion.so/statuses_connectivity_last_changed_at-2d03e766c90181dd9dcace15d98b87c5?pvs=21), last_updated_at (https://www.notion.so/last_updated_at-2d03e766c90181f0a2c1d615f9506341?pvs=21), top_status_code (https://www.notion.so/top_status_code-2d03e766c9018143a851d71781813b82?pvs=21), top_status_family (https://www.notion.so/top_status_family-2d03e766c901818ba2a2df0c5e1c6ee3?pvs=21)",Whether the device is online (recently sent data) or offline (hasn't sent data recently). Most assets are offline if no data for 24 hours; coldroom sites are offline after 1 hour.,status.statuses.connectivity.code,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",
statuses_connectivity_compatible,status,"Calculated: derive using derive_statuses_connectivity_compatible function. Function calls Asset Service to retrieve asset_type and asset_subtype. Check asset type/subtype against compatibility matrix (Connectivity: all types). Connectivity status is compatible with all asset types and subtypes. Return true for all assets. Connectivity applies to all asset types (Vehicles, Equipment, Sites, Phones) regardless of subtype.

Pseudo code:
asset_type = asset_service.get_asset_type(asset_id)
asset_subtype = asset_service.get_asset_subtype(asset_id)
// Connectivity is compatible with all asset types
return true","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_connectivity_compatible"",
""parameters"": {
""fleeti"": []
}
}",boolean,,"Whether this asset can have connectivity status. All assets have connectivity status, so this is always true.",status.statuses.connectivity.compatible,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list",
statuses_connectivity_last_changed_at,status,"Calculated: derive from statuses_connectivity_code and last_updated_at using derive_statuses_connectivity_last_changed_at function. Updates when status family code changes (not on every packet). Backend compares current statuses_connectivity_code with previous value. If different, update timestamp to last_updated_at (from telemetry packet). If same, keep previous timestamp unchanged. Used to calculate duration of current connectivity status (e.g., ""offline for 2h"", ""online since yesterday""). Enables connectivity duration tracking and timeline features.

Pseudo code:
if (current_statuses_connectivity_code !== previous_statuses_connectivity_code) {
statuses_connectivity_last_changed_at = last_updated_at  // Use timestamp from telemetry packet
} else {
statuses_connectivity_last_changed_at = previous_statuses_connectivity_last_changed_at  // keep unchanged
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_connectivity_last_changed_at"",
""parameters"": {
""fleeti"": [
""statuses_connectivity_code"",
""last_updated_at""
]
}
}",datetime,"statuses_connectivity_code (https://www.notion.so/statuses_connectivity_code-2d03e766c9018122881bd8b3876ab02a?pvs=21), last_updated_at (https://www.notion.so/last_updated_at-2d03e766c90181f0a2c1d615f9506341?pvs=21)",When the connectivity status last changed (from online to offline or vice versa). Used to show how long the asset has been online or offline.,status.statuses.connectivity.last_changed_at,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list",
statuses_immobilization_code,status,"Calculated: derive from statuses_immobilization_compatible, outputs_individual_output_1, outputs_individual_output_2, and outputs_individual_output_3 using derive_statuses_immobilization_code function. Function calls Asset Service to retrieve asset.installation.immobilizer_output_number. Prerequisites: Check statuses_immobilization_compatible (must be true). If false, return null (immobilization not applicable). Read immobilizer output number from asset.installation.immobilizer_output_number (default to 1 if not specified). Read digital output state from the corresponding individual output field: outputs_individual_output_1 (if output_number = 1), outputs_individual_output_2 (if output_number = 2), or outputs_individual_output_3 (if output_number = 3). Status determination: If output state = 1 ? ""immobilized"". If output state = 0 ? ""free"". If immobilization command sent via REST API ? ""immobilizing"" (persists until output changes to 1 or timeout, managed by backend command tracking). If release command sent ? ""releasing"" (persists until output changes to 0 or timeout, managed by backend command tracking).

Pseudo code:
if (!statuses_immobilization_compatible) {
     return null  // Immobilization not applicable
}
output_number = asset_service.get_installation_metadata('immobilizer_output_number') || 1  // default to 1
output_state = null
if (output_number === 1) {
output_state = outputs_individual_output_1
} else if (output_number === 2) {
output_state = outputs_individual_output_2
} else if (output_number === 3) {
output_state = outputs_individual_output_3
}
if (isImmobilizingCommandActive()) {
return ""immobilizing""
} else if (isReleasingCommandActive()) {
return ""releasing""
} else if (output_state === 1) {
return ""immobilized""
} else if (output_state === 0) {
return ""free""
} else {
return null  // output state unavailable
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_immobilization_code"",
""parameters"": {
""fleeti"": [
""statuses_immobilization_compatible"",
""outputs_individual_output_1"",
""outputs_individual_output_2"",
""outputs_individual_output_3""
]
}
}",string,"statuses_immobilization_last_changed_at (https://www.notion.so/statuses_immobilization_last_changed_at-2d03e766c901810ab405e99b459708eb?pvs=21), outputs_individual_output_1 (https://www.notion.so/outputs_individual_output_1-2d03e766c90181a4b67df7592999fa05?pvs=21), outputs_individual_output_2 (https://www.notion.so/outputs_individual_output_2-2d03e766c901818891b4d611722059ea?pvs=21), outputs_individual_output_3 (https://www.notion.so/outputs_individual_output_3-2d03e766c90181e7bbeaed8b10e0630d?pvs=21), statuses_immobilization_compatible (https://www.notion.so/statuses_immobilization_compatible-2d03e766c90181409758e5a6865cad1c?pvs=21), top_status_code (https://www.notion.so/top_status_code-2d03e766c9018143a851d71781813b82?pvs=21), top_status_family (https://www.notion.so/top_status_family-2d03e766c901818ba2a2df0c5e1c6ee3?pvs=21)","Whether the vehicle/equipment is currently locked (immobilized), unlocked (free), or in the process of locking/unlocking. Only applies to vehicles and equipment with an immobilizer installed.",status.statuses.immobilization.code,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",
statuses_immobilization_compatible,status,"Calculated: derive using derive_statuses_immobilization_compatible function. Function calls Asset Service to retrieve asset_type and asset_accessories. Check asset type/subtype against compatibility matrix (Immobilization: Vehicles and Equipment only). Asset must have asset_type = Vehicle (10) OR Equipment (20). Asset must have immobilizer accessory installed (asset.accessories contains type_code=""immobilizer""). Return true if both conditions are met, false otherwise.

Pseudo code:
asset_type = asset_service.get_asset_type(asset_id)
asset_accessories = asset_service.get_asset_accessories(asset_id)
if (asset_type === Vehicle || asset_type === Equipment) {
if (hasImmobilizerAccessory(asset_accessories)) {
return true
}
}
return false","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_immobilization_compatible"",
""parameters"": {
""fleeti"": []
}
}",boolean,statuses_immobilization_code (https://www.notion.so/statuses_immobilization_code-2d03e766c9018134919dd42cdb9c9148?pvs=21),Whether this asset supports immobilization status. Only vehicles and equipment with an immobilizer accessory installed can have immobilization status.,status.statuses.immobilization.compatible,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list",
statuses_immobilization_last_changed_at,status,"Calculated: derive from statuses_immobilization_code and last_updated_at using derive_statuses_immobilization_last_changed_at function. Updates when status family code changes (not on every packet). Backend compares current statuses_immobilization_code with previous value. If different, update timestamp to last_updated_at (from telemetry packet). If same, keep previous timestamp unchanged. Used to calculate duration of current immobilization status (e.g., ""immobilized for 2h"", ""free since yesterday""). Enables immobilization duration tracking and timeline features.

Pseudo code:
if (current_statuses_immobilization_code !== previous_statuses_immobilization_code) {
statuses_immobilization_last_changed_at = last_updated_at  // Use timestamp from telemetry packet
} else {
statuses_immobilization_last_changed_at = previous_statuses_immobilization_last_changed_at  // keep unchanged
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_immobilization_last_changed_at"",
""parameters"": {
""fleeti"": [
""statuses_immobilization_code"",
""last_updated_at""
]
}
}",datetime,"statuses_immobilization_code (https://www.notion.so/statuses_immobilization_code-2d03e766c9018134919dd42cdb9c9148?pvs=21), last_updated_at (https://www.notion.so/last_updated_at-2d03e766c90181f0a2c1d615f9506341?pvs=21)",The timestamp when the immobilization status last changed. Used to track how long the asset has been in its current immobilization state.,status.statuses.immobilization.last_changed_at,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list",
statuses_engine_code,status,"Calculated: derive from statuses_engine_compatible and ignition_value using derive_statuses_engine_code function. Prerequisites: Check statuses_engine_compatible (must be true). If false, return null (engine status not applicable). If true, check ignition state: If ignition_value = true (ON) ? ""running"". If ignition_value = false (OFF) ? ""standby"". If ignition_value is null or unavailable, return null. Engine status is based on ignition state for compatible assets. The ignition_value field already handles reading from the correct input based on installation metadata (ignition_input_number), with fallback to input 1 if metadata unavailable.

Pseudo code:
if (!statuses_engine_compatible) {
return null  // Engine status not applicable
}
if (ignition_value === true) {
return ""running""
} else if (ignition_value === false) {
return ""standby""
} else {
return null  // Ignition state unavailable
}","{
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_statuses_engine_code"",
""parameters"": {
""fleeti"": [
""statuses_engine_compatible"",
""ignition_value""
]
}
}",string,"statuses_engine_last_changed_at (https://www.notion.so/statuses_engine_last_changed_at-2d03e766c9018101bcd9efe26fa1381b?pvs=21), statuses_engine_compatible (https://www.notion.so/statuses_engine_compatible-2d03e766c901812ea7ddcd14941e2836?pvs=21), ignition_value (https://www.notion.so/ignition_value-2d03e766c9018133b8f7c56f5b8a2191?pvs=21), top_status_code (https://www.notion.so/top_status_code-2d03e766c9018143a851d71781813b82?pvs=21), top_status_family (https://www.notion.so/top_status_family-2d03e766c901818ba2a2df0c5e1c6ee3?pvs=21)",Shows if the engine is currently running or in standby. This is based on the ignition state for compatible assets.,status.statuses.engine.code,calculated,,,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,-,1.0.0,"live.asset.details, live.assets.list, live.map.markers",
